"","root_size","stem_size","root_branching","sum"
"1",47,21,0,68
"2",80,44,0,124
"3",60,35,0,95
"4",50,15,0,65
"5",95,33,0,128
"6",60,30,0,90
"7",74,38,0,112
"8",70,34,0,104
"9",65,39,0,104
"10",110,35,0,145
"11",105,40,0,145
"12",70,30,0,100
"13",55,30,0,85
"14",30,20,0,50
"15",85,32,0,117
"16",70,30,0,100
"17",70,35,0,105
"18",70,36,0,106
"19",108,35,0,143
"20",70,31,0,101
"21",25,23,0,48
"22",30,25,0,55
"23",60,27,0,87
"24",75,34,0,109
"25",75,35,0,110
"26",85,28,0,113
"27",65,34,0,99
"28",98,29,0,127
"29",65,28,0,93
"30",66,22,0,88
"31",72,26,0,98
"32",67,28,0,95
"33",59,30,0,89
"34",81,22,0,103
"35",25,20,0,45
"36",56,10,0,66
"37",70,25,0,95
"38",100,30,0,130
"39",50,30,0,80
"40",30,24,0,54
"41",65,30,0,95
"42",77,15,0,92
"43",90,30,0,120
"44",60,25,0,85
"45",70,15,0,85
"46",64,20,0,84
"47",65,38,0,103
"48",30,35,0,65
"49",85,25,0,110
"50",30,19,0,49
"51",70,20,0,90
"52",60,25,0,85
"53",30,26,0,56
"54",60,15,0,75
"55",80,30,0,110
"56",102,25,0,127
"57",65,30,0,95
"58",30,18,0,48
"59",70,22,0,92
"60",15,33,0,48
"61",67,15,0,82
"62",75,18,0,93
"63",81,36,0,117
"64",27,30,0,57
"65",33,20,0,53
"66",19,29,0,48
