"","root_size","stem_size","root_branching","sum"
"1",73,29,0,102
"2",63,33,0,96
"3",64,22,0,86
"4",41,21,0,62
"5",63,23,0,86
"6",48,25,0,73
"7",58,16,0,74
"8",8,26,0,34
"9",53,29,0,82
"10",47,16,0,63
"11",41,26,0,67
"12",81,24,0,105
"13",87,35,0,122
"14",73,24,0,97
"15",63,22,0,85
"16",63,15,0,78
"17",30,6,0,36
"18",5,12,0,17
"19",43,32,0,75
"20",30,10,0,40
"21",37,8,0,45
"22",24,26,0,50
"23",43,20,0,63
"24",83,23,0,106
"25",84,24,0,108
"26",62,28,0,90
"27",52,25,0,77
"28",38,16,0,54
"29",3,30,0,33
"30",49,26,0,75
"31",20,15,0,35
"32",70,26,0,96
"33",86,20,0,106
"34",78,16,0,94
"35",46,17,0,63
"36",54,22,0,76
"37",75,22,0,97
"38",22,17,0,39
"39",63,23,0,86
"40",10,17,0,27
"41",54,27,0,81
"42",15,75,0,90
"43",34,14,0,48
"44",64,8,0,72
"45",59,16,0,75
"46",65,30,0,95
"47",15,24,0,39
"48",83,32,0,115
"49",15,22,1,37
"50",36,34,0,70
"51",70,42,0,112
"52",18,12,0,30
"53",64,31,0,95
"54",64,25,0,89
"55",70,30,0,100
"56",64,26,0,90
"57",20,34,1,54
"58",95,16,0,111
"59",87,20,0,107
"60",72,24,0,96
"61",23,20,0,43
"62",65,33,0,98
"63",40,20,0,60
"64",55,28,0,83
"65",84,34,0,118
"66",56,13,0,69
"67",82,34,0,116
"68",33,18,0,51
"69",60,27,0,87
